name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.234,1,1,25,NA
inf,1,2,0.234,1,1,18,NA
inf,1,3,0.234,1,1,19,NA
inf,1,4,0.234,1,1,NA,NA
inf,1,5,0.234,1,1,5,NA
inf,1,6,0.234,1,1,25,NA
inf,1,7,0.234,1,1,NA,NA
inf,1,8,0.234,1,1,23,NA
inf,1,9,0.234,1,1,4,NA
inf,1,10,0.234,1,1,9,NA
inf,1,11,0.234,1,1,4,NA
inf,1,12,0.234,1,1,24,NA
inf,1,13,0.234,1,1,27,NA
inf,1,14,0.234,1,1,NA,NA
inf,1,15,0.234,1,1,26,NA
inf,1,16,0.234,1,1,2,NA
inf,1,17,0.234,1,1,9,NA
inf,1,18,0.234,1,1,27,NA
inf,1,19,0.234,1,1,11,NA
inf,1,20,0.234,1,1,13,NA
inf,1,21,0.234,1,1,NA,NA
inf,1,22,0.234,1,1,19,NA
inf,1,23,0.234,1,1,26,NA
inf,1,24,0.234,1,1,12,NA
inf,1,25,0.234,1,1,14,NA
inf,1,26,0.234,1,1,16,NA
inf,1,27,0.234,1,1,23,NA
inf,1,28,0.234,1,1,5,NA
inf,1,29,0.234,1,1,7,NA
inf,1,30,0.234,1,1,3,NA
inf,1,31,0.234,1,1,14,NA
inf,1,32,0.234,1,1,22,NA
inf,1,33,0.234,1,1,6,NA
inf,1,34,0.234,1,1,5,NA
inf,1,35,0.234,1,1,17,NA
inf,1,36,0.234,1,1,9,NA
inf,1,37,0.234,1,1,27,NA
inf,1,38,0.234,1,1,24,NA
inf,1,39,0.234,1,1,15,NA
inf,1,40,0.234,1,1,22,NA
inf,1,41,0.234,1,1,24,NA
inf,1,42,0.234,1,1,5,NA
inf,1,43,0.234,1,1,23,NA
inf,1,44,0.234,1,1,12,NA
inf,1,45,0.234,1,1,7,NA
inf,1,46,0.234,1,1,2,NA
inf,1,47,0.234,1,1,NA,NA
inf,1,48,0.234,1,1,25,NA
inf,1,49,0.234,1,1,24,NA
inf,1,50,0.234,1,1,6,NA
